q7r8s9t0;Ali Çelik;ali654;42000,90;ali.celik@email.com;+90 536 444 5555;Antalya, Muratpaşa;1983-09-12
i9j0k1l2;Mehmet Kaya;mehmet789;32000,75;mehmet.kaya@email.com;+90 534 555 1234;İzmir, Konak;1988-11-08
c9d0e1f2;Elif Yıldız;elif258;13500,30;elif.yildiz@email.com;+90 539 111 2222;Gaziantep, Şahinbey;1993-01-25
268fcb4c;emre;123;0,00;123;123;123;2000-01-01
e5f6g7h8;Ayşe Demir;ayse456;18750,25;ayse.demir@email.com;+90 533 987 6543;Ankara, Çankaya;1990-07-22
y5z6a7b8;Mustafa Şahin;mustafa147;28500,60;mustafa.sahin@email.com;+90 538 888 9999;Konya, Selçuklu;1987-06-18
m3n4o5p6;Fatma Özkan;fatma321;15600,00;fatma.ozkan@email.com;+90 535 777 8888;Bursa, Nilüfer;1992-04-30
a1b2c3d4;Ahmet Yılmaz;ahmet123;30000,50;ahmet.yilmaz@email.com;+90 532 123 4567;İstanbul, Kadıköy;1985-03-15
g3h4i5j6;Hasan Öztürk;hasan369;10000,80;hasan.ozturk@email.com;+90 540 333 4444;Kayseri, Melikgazi;1986-08-14
70011305;emre;Emre12345;0,00;emre@mail.com;555 555 5555;a;2000-01-01
u1v2w3x4;Zeynep Arslan;zeynep123;8900,45;zeynep.arslan@email.com;+90 537 666 7777;Adana, Seyhan;1995-12-03
